SKU,QtdEstoque,DataSnapshot,Laboratorio
20720,2,20/01/2026,BH Shopping
20721,2,20/01/2026,BH Shopping
20722,3,20/01/2026,BH Shopping
20723,2,20/01/2026,BH Shopping
20737,0,20/01/2026,BH Shopping
20755,0,20/01/2026,BH Shopping
20790,0,20/01/2026,BH Shopping
20791,0,20/01/2026,BH Shopping
20792,0,20/01/2026,BH Shopping
20793,0,20/01/2026,BH Shopping
20833,0,20/01/2026,BH Shopping
20834,0,20/01/2026,BH Shopping
20875,0,20/01/2026,BH Shopping
20877,0,20/01/2026,BH Shopping
20990,2,20/01/2026,BH Shopping
21069,1,20/01/2026,BH Shopping
21080,0,20/01/2026,BH Shopping
21113,0,20/01/2026,BH Shopping
21143,3,20/01/2026,BH Shopping
21144,0,20/01/2026,BH Shopping
21145,0,20/01/2026,BH Shopping
21146,1,20/01/2026,BH Shopping
21147,0,20/01/2026,BH Shopping
21148,0,20/01/2026,BH Shopping
21149,2,20/01/2026,BH Shopping
21190,0,20/01/2026,BH Shopping
21191,0,20/01/2026,BH Shopping
21227,0,20/01/2026,BH Shopping
21255,2,20/01/2026,BH Shopping
21267,2,20/01/2026,BH Shopping
21279,0,20/01/2026,BH Shopping
21286,5,20/01/2026,BH Shopping
21288,0,20/01/2026,BH Shopping
21289,0,20/01/2026,BH Shopping
21290,0,20/01/2026,BH Shopping
21291,0,20/01/2026,BH Shopping
21295,3,20/01/2026,BH Shopping
21296,4,20/01/2026,BH Shopping
21299,0,20/01/2026,BH Shopping
21300,2,20/01/2026,BH Shopping
21309,0,20/01/2026,BH Shopping
21311,0,20/01/2026,BH Shopping
21312,0,20/01/2026,BH Shopping
21313,0,20/01/2026,BH Shopping
21314,0,20/01/2026,BH Shopping
21315,3,20/01/2026,BH Shopping
21316,2,20/01/2026,BH Shopping
21317,0,20/01/2026,BH Shopping
21383,0,20/01/2026,BH Shopping
21414,0,20/01/2026,BH Shopping
21458,2,20/01/2026,BH Shopping
21462,2,20/01/2026,BH Shopping
21463,2,20/01/2026,BH Shopping
21464,2,20/01/2026,BH Shopping
21466,2,20/01/2026,BH Shopping
21467,2,20/01/2026,BH Shopping
21492,0,20/01/2026,BH Shopping
21510,1,20/01/2026,BH Shopping
21511,3,20/01/2026,BH Shopping
21512,3,20/01/2026,BH Shopping
21513,2,20/01/2026,BH Shopping
21514,1,20/01/2026,BH Shopping
21547,3,20/01/2026,BH Shopping
21557,2,20/01/2026,BH Shopping
21574,0,20/01/2026,BH Shopping
21575,0,20/01/2026,BH Shopping
21576,0,20/01/2026,BH Shopping
21581,0,20/01/2026,BH Shopping
21582,0,20/01/2026,BH Shopping
21583,0,20/01/2026,BH Shopping
21601,1,20/01/2026,BH Shopping
21613,0,20/01/2026,BH Shopping
21614,0,20/01/2026,BH Shopping
21682,2,20/01/2026,BH Shopping
21691,2,20/01/2026,BH Shopping
21694,0,20/01/2026,BH Shopping
21696,2,20/01/2026,BH Shopping
21697,0,20/01/2026,BH Shopping
21698,3,20/01/2026,BH Shopping
21703,0,20/01/2026,BH Shopping
21704,0,20/01/2026,BH Shopping
21710,0,20/01/2026,BH Shopping
21717,0,20/01/2026,BH Shopping
21718,0,20/01/2026,BH Shopping
21719,0,20/01/2026,BH Shopping
21875,2,20/01/2026,BH Shopping
21876,2,20/01/2026,BH Shopping
21905,3,20/01/2026,BH Shopping
21909,0,20/01/2026,BH Shopping
21910,2,20/01/2026,BH Shopping
21911,0,20/01/2026,BH Shopping
21912,0,20/01/2026,BH Shopping
21913,0,20/01/2026,BH Shopping
21914,3,20/01/2026,BH Shopping
21915,3,20/01/2026,BH Shopping
21917,0,20/01/2026,BH Shopping
21918,3,20/01/2026,BH Shopping
21919,1,20/01/2026,BH Shopping
21920,2,20/01/2026,BH Shopping
21921,3,20/01/2026,BH Shopping
21923,3,20/01/2026,BH Shopping
21924,0,20/01/2026,BH Shopping
21925,0,20/01/2026,BH Shopping
21926,0,20/01/2026,BH Shopping
21927,0,20/01/2026,BH Shopping
22000,0,20/01/2026,BH Shopping
22001,0,20/01/2026,BH Shopping
22002,0,20/01/2026,BH Shopping
22101,0,20/01/2026,BH Shopping
22102,0,20/01/2026,BH Shopping
22103,0,20/01/2026,BH Shopping
22114,0,20/01/2026,BH Shopping
22191,0,20/01/2026,BH Shopping
22278,0,20/01/2026,BH Shopping
22306,1,20/01/2026,BH Shopping
22307,0,20/01/2026,BH Shopping
22308,0,20/01/2026,BH Shopping
22403,0,20/01/2026,BH Shopping
22417,0,20/01/2026,BH Shopping
22476,0,20/01/2026,BH Shopping
22477,0,20/01/2026,BH Shopping
